,irace_1,irace_2,irace_3,irace_4,default
180,5.354567107,4.521731818,9.577376072,5.335947989,4.611190447
181,130.5616425,133.2074651,173.9760833,130.2303792,85.91613157
182,1,0.749755074,1,1,0.861915993
183,930.6998284,143.3093889,1528.56187,919.8262352,90.03255342
184,1493.818269,182.5223852,10000,1402.940014,220.5398598
185,8.27187885,4.994255599,59.26879129,8.158206772,3.35050339
186,0.016927028,0.008775054,0.71833127,0.058176518,0.050611986
187,0.018315639,0.018315639,1,0.135335283,0.002478752
188,4997433.534,4216896.241,59109646.74,4917376.54,5989750.129
189,7942804.362,4779756.89,58439872.94,7825018.914,2044908.113
190,28308.20887,289038.0023,1861584.694,28009.23507,95610.43565
191,2845105.031,222872.4202,335099.6073,2803223.353,22433.61931
192,22026.46579,162754.7914,1202604.284,22026.46579,59874.14172
193,2657130.348,51.97387252,57383.36027,2610625.415,12.91153649
194,5253973.726,5342099.231,276153669,5148804.472,3939444.5
195,1.720244598,0.942315332,1,1.708546049,0.438285734
196,1,0.749755074,1,1,0.861915993
197,1,0.577946243,1,1,1
198,13.83776301,5.128468791,120.2055778,13.6264909,4.322926426
199,93.048296,48.52492455,140.2901732,91.51656121,68.23516412
200,0.765383734,0.650969284,0.919621783,0.761421166,0.503695841
201,2205.109486,1132.322462,75979.03159,2180.615674,731.8168496
202,4.895177085,4.032227661,9.21876598,4.892128348,4.455769164
203,127.7283999,130.7429906,230.278294,128.5305369,143.1138104
204,1,1,1,1,1
205,517.8227987,88.2398805,2050.363684,532.4729224,109.9181722
206,8715.089721,20.05955836,10000,7741.422923,10.27237882
207,8.27187885,6.020340671,59.26879129,8.158206772,3.102920323
208,0.033380247,0.596296274,0.754324001,0.024553824,0.02753233
209,0.049787068,1,1,0.049787068,0.049787068
210,8192034.237,3890363.977,59189225.74,8084610.336,2812009.636
211,7647669.133,4676283.065,56629822.61,7553568.37,4511503.394
212,531190.4406,117105.4372,5168851.067,513937.4486,31302.49903
213,389905.0923,800876.577,264397.4147,379869.6996,83438.9312
214,442413.392,59874.14172,3269017.372,442413.392,59874.14172
215,47773.51018,121961.2578,17740.23083,42231.55803,13.96448102
216,8561744.821,1993843.497,119320643.6,8450420.175,2000458.742
217,1,1.077534633,1.279019744,1,0.584829863
218,1,1,1,1,1
219,1,1,1,1,0.255910906
220,69.63599611,61.63344146,2835.517831,69.91935004,135.6506381
221,468.3353954,436.9557104,1887.730654,466.579574,485.2972431
222,0.840961767,0.85421494,1.340360412,0.838648183,0.958952287
223,10513.04191,8557.304068,10093698.42,10616.77624,26350.93472
224,4.910108255,4.851477266,14.7521565,4.904700516,5.779994651
225,684.6678104,721.0904785,1969.44918,683.8550735,705.1630064
226,1,1,1,1,0.198465398
227,5099.755264,1836.561032,32337.06841,5065.194272,2337.084488
228,10000,10000,10000,10000,10000
229,41.4638718,37.89516671,1361.441649,41.56751218,60.77586505
230,2.867830105,0.255466384,4.471614392,2.688989117,0.338106126
231,2.718281828,0.367879441,2.718281828,1,0.367879441
232,39493927.37,36803224.18,1212135425,39605247.32,65932138.34
233,41450763.2,36369209.63,1332189798,41555191.51,61884964.58
234,876189.6058,1365420.853,63902704.21,889648.3317,2040965.989
235,2363426.129,2871353.112,17758055.21,2329497.666,2219455.058
236,442413.392,1202604.284,24154952.75,442413.392,1202604.284
237,103204.6142,69450.53734,9755.872458,83105.56399,2223.788824
238,43478400.77,36704698.98,15966954624,43673997.33,84316631.46
239,1.070653931,1,1.001385039,1.058620571,0.09774883
240,1,1,1,1,0.198465398
241,1,1,1,1,0.198465398
242,71.73900876,66.06109244,2835.249307,71.88514523,108.940513
243,455.6138309,461.9669424,1928.806126,459.6316401,498.3107451
244,0.674246225,0.857863005,1.340360412,0.677728054,0.892659336
245,16305.52759,10160.71831,8184592.48,16345.57452,25451.39697
246,5.01196192,4.85182621,14.80081511,5.005873785,5.833005302
247,782.000545,707.9162048,1898.455533,779.7339138,726.7344691
248,1,1,1,1,1
249,1387.016189,6261.065536,53335.87343,1396.04376,2139.80393
250,10000,10000,10000,10000,10000
251,41.4638718,37.89516671,1361.441649,41.56751218,66.41802376
252,0.042828909,2.740617735,0.756921736,0.007971535,0.047495818
253,0.049787068,2.718281828,1,0.018315639,0.018315639
254,40981063.3,35057962.12,1347810537,41070567.63,53813994.51
255,40699693.76,37189534.86,1354904762,40786460.68,54030159.53
256,2299134.028,2374059.537,44977855.4,2270164.325,2328668.964
257,618704.701,2791635.762,64604435.9,627596.0259,1364168.626
258,1202604.284,1202604.284,24154952.75,1202604.284,3269017.372
259,5205.691055,478675.3384,12176.86074,4210.598455,2043.171843
260,44893112.71,43666140.4,8385064132,44939475.26,66863417.34
261,0.546334225,1.547052311,2.060945008,0.554734557,0.188013104
262,1,1,1,1,1
263,1,1,1,1,1
